Datos que encuentra el metodo de Runge Kutta(variable ind.	 variable dep.	 numero de thread)
0.009425	 0.794879 	 numero de thread:2
0.009488	 0.794943 	 numero de thread:2
0.009550	 0.795006 	 numero de thread:2
0.009613	 0.795070 	 numero de thread:2
0.009676	 0.795133 	 numero de thread:2
0.009739	 0.795197 	 numero de thread:2
0.009802	 0.795261 	 numero de thread:2
0.009865	 0.795324 	 numero de thread:2
0.009927	 0.795388 	 numero de thread:2
0.009990	 0.795451 	 numero de thread:2
0.010053	 0.795515 	 numero de thread:2
0.010116	 0.795579 	 numero de thread:2
0.010179	 0.795642 	 numero de thread:2
0.010242	 0.795706 	 numero de thread:2
0.010304	 0.795770 	 numero de thread:2
0.010367	 0.795833 	 numero de thread:2
0.010430	 0.795897 	 numero de thread:2
0.010493	 0.795961 	 numero de thread:2
0.010556	 0.796024 	 numero de thread:2
0.010619	 0.796088 	 numero de thread:2
0.010681	 0.796152 	 numero de thread:2
0.010744	 0.796215 	 numero de thread:2
0.010807	 0.796279 	 numero de thread:2
0.010870	 0.796343 	 numero de thread:2
0.010933	 0.796406 	 numero de thread:2
0.010996	 0.796470 	 numero de thread:2
0.011058	 0.796534 	 numero de thread:2
0.011121	 0.796597 	 numero de thread:2
0.011184	 0.796661 	 numero de thread:2
0.011247	 0.796725 	 numero de thread:2
0.011310	 0.796789 	 numero de thread:2
0.011373	 0.796852 	 numero de thread:2
0.011435	 0.796916 	 numero de thread:2
0.011498	 0.796980 	 numero de thread:2
0.011561	 0.797043 	 numero de thread:2
0.011624	 0.797107 	 numero de thread:2
0.011687	 0.797171 	 numero de thread:2
0.011750	 0.797235 	 numero de thread:2
0.011812	 0.797298 	 numero de thread:2
0.011875	 0.797362 	 numero de thread:2
0.011938	 0.797426 	 numero de thread:2
0.012001	 0.797490 	 numero de thread:2
0.012064	 0.797554 	 numero de thread:2
0.012127	 0.797617 	 numero de thread:2
0.012189	 0.797681 	 numero de thread:2
0.012252	 0.797745 	 numero de thread:2
0.012315	 0.797809 	 numero de thread:2
0.012378	 0.797873 	 numero de thread:2
0.012441	 0.797936 	 numero de thread:2
0.012504	 0.798000 	 numero de thread:2
0.012566	 0.798064 	 numero de thread:2
0.012629	 0.798128 	 numero de thread:2
0.012692	 0.798192 	 numero de thread:2
0.012755	 0.798255 	 numero de thread:2
0.012818	 0.798319 	 numero de thread:2
0.012881	 0.798383 	 numero de thread:2
0.012943	 0.798447 	 numero de thread:2
0.013006	 0.798511 	 numero de thread:2
0.013069	 0.798575 	 numero de thread:2
0.013132	 0.798639 	 numero de thread:2
0.013195	 0.798702 	 numero de thread:2
0.013258	 0.798766 	 numero de thread:2
0.013320	 0.798830 	 numero de thread:2
0.013383	 0.798894 	 numero de thread:2
0.013446	 0.798958 	 numero de thread:2
0.013509	 0.799022 	 numero de thread:2
0.013572	 0.799086 	 numero de thread:2
0.013635	 0.799150 	 numero de thread:2
0.013697	 0.799214 	 numero de thread:2
0.013760	 0.799277 	 numero de thread:2
0.013823	 0.799341 	 numero de thread:2
0.013886	 0.799405 	 numero de thread:2
0.013949	 0.799469 	 numero de thread:2
0.014012	 0.799533 	 numero de thread:2
0.014074	 0.799597 	 numero de thread:2
0.014137	 0.799661 	 numero de thread:2
0.014200	 0.799725 	 numero de thread:2
0.014263	 0.799789 	 numero de thread:2
0.014326	 0.799853 	 numero de thread:2
0.014388	 0.799917 	 numero de thread:2
0.014451	 0.799981 	 numero de thread:2
0.014514	 0.800045 	 numero de thread:2
0.014577	 0.800109 	 numero de thread:2
0.014640	 0.800173 	 numero de thread:2
0.014703	 0.800237 	 numero de thread:2
0.014765	 0.800301 	 numero de thread:2
0.014828	 0.800365 	 numero de thread:2
0.014891	 0.800429 	 numero de thread:2
0.014954	 0.800493 	 numero de thread:2
0.015017	 0.800557 	 numero de thread:2
0.015080	 0.800621 	 numero de thread:2
0.015142	 0.800685 	 numero de thread:2
0.015205	 0.800749 	 numero de thread:2
0.015268	 0.800813 	 numero de thread:2
0.015331	 0.800877 	 numero de thread:2
0.015394	 0.800941 	 numero de thread:2
0.015457	 0.801005 	 numero de thread:2
0.015519	 0.801069 	 numero de thread:2
0.015582	 0.801133 	 numero de thread:2
0.015645	 0.801197 	 numero de thread:2
0.015708	 0.801261 	 numero de thread:2
0.015771	 0.801325 	 numero de thread:2
0.015834	 0.801389 	 numero de thread:2
0.015896	 0.801453 	 numero de thread:2
0.015959	 0.801517 	 numero de thread:2
0.016022	 0.801582 	 numero de thread:2
0.016085	 0.801646 	 numero de thread:2
0.016148	 0.801710 	 numero de thread:2
0.016211	 0.801774 	 numero de thread:2
0.016273	 0.801838 	 numero de thread:2
0.016336	 0.801902 	 numero de thread:2
0.016399	 0.801966 	 numero de thread:2
0.016462	 0.802030 	 numero de thread:2
0.016525	 0.802094 	 numero de thread:2
0.016588	 0.802158 	 numero de thread:2
0.016650	 0.802223 	 numero de thread:2
0.016713	 0.802287 	 numero de thread:2
0.016776	 0.802351 	 numero de thread:2
0.016839	 0.802415 	 numero de thread:2
0.016902	 0.802479 	 numero de thread:2
0.016965	 0.802543 	 numero de thread:2
0.017027	 0.802608 	 numero de thread:2
0.017090	 0.802672 	 numero de thread:2
0.017153	 0.802736 	 numero de thread:2
0.017216	 0.802800 	 numero de thread:2
0.017279	 0.802864 	 numero de thread:2
0.017342	 0.802928 	 numero de thread:2
0.017404	 0.802993 	 numero de thread:2
0.017467	 0.803057 	 numero de thread:2
0.017530	 0.803121 	 numero de thread:2
0.017593	 0.803185 	 numero de thread:2
0.017656	 0.803249 	 numero de thread:2
0.017719	 0.803314 	 numero de thread:2
0.017781	 0.803378 	 numero de thread:2
0.017844	 0.803442 	 numero de thread:2
0.017907	 0.803506 	 numero de thread:2
0.017970	 0.803571 	 numero de thread:2
0.018033	 0.803635 	 numero de thread:2
0.018096	 0.803699 	 numero de thread:2
0.018158	 0.803763 	 numero de thread:2
0.018221	 0.803828 	 numero de thread:2
0.018284	 0.803892 	 numero de thread:2
0.018347	 0.803956 	 numero de thread:2
0.018410	 0.804020 	 numero de thread:2
0.018473	 0.804085 	 numero de thread:2
0.018535	 0.804149 	 numero de thread:2
0.018598	 0.804213 	 numero de thread:2
0.018661	 0.804277 	 numero de thread:2
0.018724	 0.804342 	 numero de thread:2
0.018787	 0.804406 	 numero de thread:2
0.018850	 0.804470 	 numero de thread:2
0.018912	 0.804535 	 numero de thread:2
0.018975	 0.804599 	 numero de thread:2
0.019038	 0.804663 	 numero de thread:2
0.019101	 0.804728 	 numero de thread:2
0.019164	 0.804792 	 numero de thread:2
0.019227	 0.804856 	 numero de thread:2
0.019289	 0.804921 	 numero de thread:2
0.019352	 0.804985 	 numero de thread:2
0.019415	 0.805049 	 numero de thread:2
0.019478	 0.805114 	 numero de thread:2
0.019541	 0.805178 	 numero de thread:2
0.019604	 0.805242 	 numero de thread:2
0.019666	 0.805307 	 numero de thread:2
0.019729	 0.805371 	 numero de thread:2
0.019792	 0.805435 	 numero de thread:2
0.019855	 0.805500 	 numero de thread:2
0.019918	 0.805564 	 numero de thread:2
0.019981	 0.805629 	 numero de thread:2
0.020043	 0.805693 	 numero de thread:2
0.020106	 0.805757 	 numero de thread:2
0.020169	 0.805822 	 numero de thread:2
0.020232	 0.805886 	 numero de thread:2
0.020295	 0.805951 	 numero de thread:2
0.020358	 0.806015 	 numero de thread:2
0.020420	 0.806079 	 numero de thread:2
0.020483	 0.806144 	 numero de thread:2
0.020546	 0.806208 	 numero de thread:2
0.020609	 0.806273 	 numero de thread:2
0.020672	 0.806337 	 numero de thread:2
0.020735	 0.806402 	 numero de thread:2
0.020797	 0.806466 	 numero de thread:2
0.020860	 0.806531 	 numero de thread:2
0.020923	 0.806595 	 numero de thread:2
0.020986	 0.806659 	 numero de thread:2
0.021049	 0.806724 	 numero de thread:2
0.021112	 0.806788 	 numero de thread:2
0.021174	 0.806853 	 numero de thread:2
0.021237	 0.806917 	 numero de thread:2
0.021300	 0.806982 	 numero de thread:2
0.021363	 0.807046 	 numero de thread:2
0.021426	 0.807111 	 numero de thread:2
0.021488	 0.807175 	 numero de thread:2
0.021551	 0.807240 	 numero de thread:2
0.021614	 0.807304 	 numero de thread:2
0.021677	 0.807369 	 numero de thread:2
0.021740	 0.807433 	 numero de thread:2
0.021803	 0.807498 	 numero de thread:2
0.021865	 0.807562 	 numero de thread:2
0.021928	 0.807627 	 numero de thread:2
0.021991	 0.807692 	 numero de thread:2
0.022054	 0.807756 	 numero de thread:2
0.022117	 0.807821 	 numero de thread:2
0.022180	 0.807885 	 numero de thread:2
0.022242	 0.807950 	 numero de thread:2
0.022305	 0.808014 	 numero de thread:2
0.022368	 0.808079 	 numero de thread:2
0.022431	 0.808143 	 numero de thread:2
0.022494	 0.808208 	 numero de thread:2
0.022557	 0.808273 	 numero de thread:2
0.022619	 0.808337 	 numero de thread:2
0.022682	 0.808402 	 numero de thread:2
0.022745	 0.808466 	 numero de thread:2
0.022808	 0.808531 	 numero de thread:2
0.022871	 0.808596 	 numero de thread:2
0.022934	 0.808660 	 numero de thread:2
0.022996	 0.808725 	 numero de thread:2
0.023059	 0.808789 	 numero de thread:2
0.023122	 0.808854 	 numero de thread:2
0.023185	 0.808919 	 numero de thread:2
0.023248	 0.808983 	 numero de thread:2
0.023311	 0.809048 	 numero de thread:2
0.023373	 0.809113 	 numero de thread:2
0.023436	 0.809177 	 numero de thread:2
0.023499	 0.809242 	 numero de thread:2
0.023562	 0.809307 	 numero de thread:2
0.023625	 0.809371 	 numero de thread:2
0.023688	 0.809436 	 numero de thread:2
0.023750	 0.809501 	 numero de thread:2
0.023813	 0.809565 	 numero de thread:2
